ShipId: 219030706, Latitude: 36.25832833333333, Longitude: -2.4523099999999998, SOG: 12.4 knots, COG: 273.6 degrees, Ship Type: Tanker Ship
ShipId: 352004677, Latitude: 36.19348166666667, Longitude: -7.819635, SOG: 13 knots, COG: 101.9 degrees, Ship Type: Tanker Ship
ShipId: 273253500, Latitude: 36.296455, Longitude: -7.50008, SOG: 14.5 knots, COG: 289.2 degrees, Ship Type: Tanker Ship
ShipId: 244069000, Latitude: 51.667770000000004, Longitude: -5.357411666666667, SOG: 12.2 knots, COG: 270.5 degrees, Ship Type: Tanker Ship
ShipId: 403503000, Latitude: 37.54508833333333, Longitude: -0.521125, SOG: 11.2 knots, COG: 53 degrees, Ship Type: Tanker Ship
ShipId: 247271400, Latitude: 49.95333333333333, Longitude: -2.9399333333333333, SOG: 11.4 knots, COG: 245 degrees, Ship Type: Tanker Ship
ShipId: 538011321, Latitude: 36.18518166666667, Longitude: -5.001343333333334, SOG: 2.8 knots, COG: 34.5 degrees, Ship Type: Tanker Ship
ShipId: 352001760, Latitude: 36.94047, Longitude: 0.71553, SOG: 8.9 knots, COG: 252 degrees, Ship Type: Tanker Ship
ShipId: 256077000, Latitude: 49.43432666666667, Longitude: 0.103745, SOG: 11.4 knots, COG: 99.9 degrees, Ship Type: Tanker Ship
ShipId: 636021464, Latitude: 36.34696333333333, Longitude: -2.290671666666667, SOG: 9.6 knots, COG: 80.2 degrees, Ship Type: Tanker Ship
ShipId: 636019763, Latitude: 36.477711666666664, Longitude: -1.9871533333333333, SOG: 12.5 knots, COG: 257.2 degrees, Ship Type: Tanker Ship
ShipId: 538009248, Latitude: 49.869955, Longitude: -3.8500733333333335, SOG: 11.5 knots, COG: 260.1 degrees, Ship Type: Tanker Ship
ShipId: 667002428, Latitude: 36.036183333333334, Longitude: -4.691016666666667, SOG: 14.3 knots, COG: 88.6 degrees, Ship Type: Tanker Ship
ShipId: 563030090, Latitude: 36.26412833333333, Longitude: -4.871031666666667, SOG: 2.3 knots, COG: 68.3 degrees, Ship Type: Tanker Ship
ShipId: 636022767, Latitude: 36.10555333333333, Longitude: -4.808115, SOG: 9.2 knots, COG: 265.7 degrees, Ship Type: Tanker Ship
ShipId: 565254000, Latitude: 36.065925, Longitude: -5.15928, SOG: 9.5 knots, COG: 260.4 degrees, Ship Type: Tanker Ship
ShipId: 538006310, Latitude: 49.46314666666667, Longitude: 0.44237000000000004, SOG: 9 knots, COG: 238.4 degrees, Ship Type: Tanker Ship
ShipId: 668116372, Latitude: 36.533485000000006, Longitude: -1.16781, SOG: 13.7 knots, COG: 249 degrees, Ship Type: Tanker Ship
ShipId: 219479000, Latitude: 36.3846, Longitude: -2.5113833333333333, SOG: 11.8 knots, COG: 258 degrees, Ship Type: Tanker Ship
ShipId: 636016275, Latitude: 36.13348333333333, Longitude: -5.023266666666667, SOG: 8.5 knots, COG: 294 degrees, Ship Type: Tanker Ship
